#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1.66105e-316,4.62837,-1.99114,0.80733,0.478492,-0.715167,-0.43848,0.259459
1.66105e-316,4.60433,-2.06456,0.797697,0.469505,-0.711444,-0.450233,0.265904
1.66105e-316,4.5937,-2.08315,0.801346,0.469435,-0.710597,-0.448941,0.270438
1.66105e-316,4.58147,-2.15489,0.799144,0.472572,-0.710491,-0.446267,0.269676
1.66105e-316,4.64127,-2.0533,0.814541,0.492707,-0.729505,-0.405335,0.24651
1.66105e-316,4.62443,-2.08215,0.809217,0.493826,-0.72967,-0.404116,0.245785
1.66105e-316,4.60974,-2.1114,0.799249,0.470955,-0.718155,-0.441772,0.25941
1.66105e-316,4.61994,-2.08078,0.810976,0.487517,-0.725448,-0.420579,0.243246
1.66105e-316,4.62363,-2.17117,0.795012,0.486405,-0.723564,-0.421471,0.249458
1.66105e-316,4.64547,-2.1657,0.810241,0.507837,-0.723392,-0.398127,0.245567
1.66105e-316,4.67458,-2.20599,0.79674,0.510024,-0.719165,-0.400528,0.249513
1.66105e-316,4.6965,-2.21486,0.788695,0.517154,-0.712228,-0.403986,0.249161
1.66105e-316,4.71991,-2.22114,0.78306,0.526327,-0.701689,-0.41038,0.249406
1.66105e-316,4.76882,-2.22003,0.767733,0.527549,-0.691769,-0.423609,0.252401
1.66105e-316,4.78716,-2.23643,0.778066,0.525912,-0.672882,-0.442403,0.273732
1.66105e-316,4.8131,-2.22769,0.777349,0.522468,-0.66205,-0.460527,0.27683
1.66105e-316,4.82706,-2.20375,0.778857,0.523573,-0.663444,-0.462998,0.267113
1.66105e-316,4.84406,-2.18102,0.779037,0.514527,-0.659421,-0.478217,0.267836
1.66105e-316,4.88206,-2.11201,0.812021,0.507799,-0.650564,-0.493419,0.274677
1.66105e-316,4.8953,-2.00373,0.852671,0.507135,-0.650721,-0.491932,0.278177
1.66105e-316,4.88132,-1.97594,0.860627,0.501561,-0.648498,-0.498297,0.282117
1.66105e-316,4.88177,-1.9425,0.860584,0.499217,-0.665223,-0.485798,0.268818
1.66105e-316,4.88554,-1.92837,0.689405,0.47024,-0.685821,-0.505804,0.229542
1.66105e-316,4.82884,-2.01144,0.673955,0.469285,-0.69123,-0.499511,0.229051
1.66105e-316,4.78805,-2.0671,0.659537,0.467543,-0.693959,-0.497004,0.229813
1.66105e-316,4.77628,-2.10411,0.657368,0.472373,-0.698548,-0.487098,0.227227
1.66105e-316,4.74201,-2.21576,0.646992,0.47648,-0.697405,-0.484244,0.228261
1.66105e-316,4.7309,-2.24901,0.642527,0.480048,-0.696393,-0.481819,0.229007
1.66105e-316,4.75282,-2.19968,0.668314,0.499102,-0.70533,-0.454353,0.216734
1.66105e-316,4.78746,-2.17686,0.70966,0.518788,-0.703306,-0.436881,0.212971
1.66105e-316,4.83821,-2.18068,0.738634,0.522266,-0.698884,-0.432605,0.227276
1.66105e-316,4.86037,-2.16773,0.734899,0.522162,-0.699247,-0.432908,0.22582
1.66105e-316,4.88899,-2.16361,0.73185,0.516524,-0.693599,-0.44255,0.237229
1.66105e-316,4.9286,-2.11437,0.725607,0.514542,-0.698752,-0.439752,0.231547
1.66105e-316,4.94652,-2.08801,0.729409,0.522874,-0.709536,-0.417893,0.220294
1.66105e-316,4.97924,-2.04015,0.711055,0.518107,-0.707073,-0.425537,0.224801
1.66105e-316,5.02638,-2.20725,0.660107,0.513287,-0.710673,-0.426392,0.222876
1.66105e-316,4.94114,-2.33573,0.339229,0.494075,-0.721335,-0.43826,0.208562
1.66105e-316,4.91805,-2.38649,0.331013,0.488533,-0.72266,-0.441241,0.21073
1.66105e-316,4.91383,-2.39785,0.325952,0.482193,-0.725694,-0.444005,0.209093
1.66105e-316,4.91386,-2.41198,0.322041,0.47656,-0.728944,-0.444184,0.210322
1.66105e-316,5.03133,-2.49918,0.251494,0.480156,-0.725642,-0.44101,0.220017
1.66105e-316,5.03463,-2.50538,0.266411,0.497273,-0.711225,-0.435887,0.238507
1.66105e-316,5.04427,-2.48993,0.252222,0.497103,-0.718443,-0.432663,0.222565
1.66105e-316,5.05154,-2.4594,0.255042,0.498225,-0.723202,-0.426425,0.216603
1.66105e-316,4.97756,-2.40614,0.23923,0.492115,-0.727565,-0.428279,0.212256
1.66105e-316,5.00547,-2.39916,0.0655663,0.465376,-0.74405,-0.436507,0.198191
1.66105e-316,5.06951,-2.34621,0.116906,0.478849,-0.744487,-0.421521,0.196893
1.66105e-316,5.07392,-2.34334,0.129373,0.490195,-0.739956,-0.413406,0.203158
1.66105e-316,5.0596,-2.34317,0.197844,0.505114,-0.72959,-0.410146,0.210574
1.66105e-316,5.00956,-2.35499,0.351101,0.511299,-0.724916,-0.409542,0.212952
1.66105e-316,5.05731,-2.24293,0.407516,0.516797,-0.728422,-0.398954,0.207756
1.66105e-316,5.08671,-2.21662,0.413211,0.525241,-0.729683,-0.387687,0.20344
1.66105e-316,5.08227,-2.25155,0.226159,0.51404,-0.734827,-0.395749,0.197937
1.66105e-316,5.09653,-2.22254,0.289908,0.520987,-0.732491,-0.388567,0.202604
1.66105e-316,5.11025,-2.20222,0.300402,0.526921,-0.731082,-0.382494,0.203901
1.66105e-316,5.12885,-2.16241,0.338752,0.53743,-0.72754,-0.374093,0.204729
1.66105e-316,2.63059,-3.74145,-1.79385,0.526641,-0.728082,-0.385383,0.209833
1.66105e-316,2.78864,-4.16984,-3.4761,0.519333,-0.732654,-0.387542,0.208151
