#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1.40364e+09,4.74515,-1.90646,0.870625,0.416904,-0.182208,-0.888971,-0.052171
1.40364e+09,4.75181,-1.88461,0.869302,0.414097,-0.184945,-0.889759,-0.051477
1.40364e+09,4.75843,-1.86187,0.868075,0.411554,-0.186952,-0.890517,-0.051506
1.40364e+09,4.76508,-1.8387,0.866772,0.410189,-0.188314,-0.890805,-0.052437
1.40364e+09,4.77679,-1.79296,0.864143,0.411068,-0.188832,-0.890342,-0.051537
1.40364e+09,4.78697,-1.74898,0.862267,0.411917,-0.190417,-0.889718,-0.049679
1.40364e+09,4.80311,-1.6751,0.854309,0.406854,-0.196888,-0.890527,-0.051648
1.40364e+09,4.69426,-1.50514,0.824865,0.428455,-0.252986,-0.862455,-0.09273
1.40364e+09,4.61733,-1.517,0.825694,0.446987,-0.218,-0.863944,-0.079281
1.40364e+09,4.59798,-1.52686,0.825108,0.449125,-0.207748,-0.865912,-0.073027
1.40364e+09,4.54704,-1.57879,0.821789,0.450439,-0.175538,-0.874289,-0.043836
1.40364e+09,4.51596,-1.69351,0.819023,0.446602,-0.130675,-0.885119,-0.006852
1.40364e+09,4.51657,-1.72733,0.819513,0.446775,-0.121177,-0.886403,0.002711
1.40364e+09,4.5201,-1.76135,0.820682,0.447375,-0.114395,-0.886923,0.012107
1.40364e+09,4.52707,-1.79494,0.821973,0.448003,-0.108684,-0.887132,0.022363
1.40364e+09,4.56578,-1.87823,0.823744,0.443334,-0.098752,-0.89023,0.034549
1.40364e+09,4.58445,-1.89795,0.822823,0.441704,-0.097838,-0.891178,0.033575
1.40364e+09,4.62799,-1.92513,0.81851,0.437822,-0.104849,-0.892438,0.029591
1.40364e+09,4.6516,-1.9326,0.815214,0.434398,-0.111751,-0.893344,0.027407
1.40364e+09,4.67598,-1.93611,0.811716,0.43034,-0.12077,-0.894184,0.025728
1.40364e+09,4.72647,-1.93051,0.804781,0.42187,-0.144791,-0.89492,0.014981
1.40364e+09,4.75135,-1.92122,0.802173,0.419775,-0.15968,-0.893462,0.006058
1.40364e+09,4.77569,-1.9088,0.800423,0.420161,-0.176476,-0.890148,-0.004219
1.40364e+09,4.79866,-1.89322,0.79982,0.422256,-0.193559,-0.88544,-0.016023
1.40364e+09,4.82045,-1.87503,0.799923,0.425036,-0.210363,-0.879926,-0.029147
1.40364e+09,4.87309,-1.80784,0.802735,0.427807,-0.256799,-0.863996,-0.067575
1.40364e+09,4.8952,-1.69356,0.801195,0.416716,-0.296277,-0.853359,-0.101741
1.40364e+09,4.8913,-1.6617,0.800519,0.41513,-0.300235,-0.851855,-0.108962
1.40364e+09,4.88371,-1.62912,0.800184,0.41573,-0.301892,-0.850102,-0.115575
1.40364e+09,4.7839,-1.4893,0.798112,0.438575,-0.295098,-0.839667,-0.12462
1.40364e+09,4.68542,-1.51403,0.791575,0.453049,-0.257455,-0.847179,-0.10392
1.40364e+09,4.63763,-1.56578,0.788817,0.461106,-0.224683,-0.854272,-0.084767
1.40364e+09,4.61732,-1.59892,0.787432,0.46333,-0.206785,-0.858663,-0.073328
1.40364e+09,4.57465,-1.70802,0.782384,0.463338,-0.160792,-0.870772,-0.035245
1.40364e+09,4.56803,-1.74271,0.781042,0.462739,-0.147696,-0.873809,-0.023115
1.40364e+09,4.56855,-1.8025,0.778961,0.460745,-0.126538,-0.878453,-0.005459
1.40364e+09,4.59939,-1.85226,0.77721,0.457452,-0.11493,-0.881756,0.006022
1.40364e+09,4.65758,-1.84698,0.773256,0.450603,-0.115019,-0.885278,0.003624
1.40364e+09,4.68039,-1.83483,0.771093,0.448817,-0.120262,-0.885499,-0.001359
1.40364e+09,4.7037,-1.8176,0.76891,0.44721,-0.126044,-0.885452,-0.009893
1.40364e+09,4.75159,-1.77632,0.762982,0.444498,-0.145698,-0.883282,-0.032556
1.40364e+09,4.77368,-1.7532,0.76016,0.442638,-0.158255,-0.881585,-0.043019
1.40364e+09,4.81977,-1.71379,0.755526,0.435808,-0.182855,-0.879029,-0.062912
1.40364e+09,4.96714,-1.81376,0.787587,0.436911,-0.225004,-0.866264,-0.089859
1.40364e+09,4.6337,-1.68972,0.800554,0.441821,-0.140476,-0.884007,-0.059998
1.40364e+09,4.58167,-1.71118,0.797692,0.462337,-0.108504,-0.879557,-0.029265
1.40364e+09,4.58167,-1.72431,0.797135,0.466521,-0.102159,-0.878237,-0.02502
1.40364e+09,4.58673,-1.73805,0.796511,0.469304,-0.096138,-0.877474,-0.02353
1.40364e+09,4.72418,-1.82129,0.772851,0.435024,-0.084578,-0.896125,-0.023806
1.40364e+09,4.73903,-1.82307,0.765913,0.428092,-0.086687,-0.8992,-0.025777
1.40364e+09,4.75647,-1.81857,0.751472,0.420737,-0.089807,-0.902095,-0.033777
1.40364e+09,4.74749,-1.79704,0.730288,0.427891,-0.087595,-0.898815,-0.037006
1.40364e+09,4.67819,-1.74864,0.692681,0.473196,-0.071263,-0.877847,-0.020458
1.40364e+09,4.56208,-1.6814,0.57873,0.579116,-0.079046,-0.810865,-0.029582
1.40364e+09,4.64032,-1.62392,0.589431,0.55873,-0.072742,-0.82345,-0.06679
1.40364e+09,4.64874,-1.62039,0.599426,0.553083,-0.071096,-0.827242,-0.068718
1.40364e+09,4.6719,-1.61496,0.665206,0.556068,-0.077953,-0.825602,-0.055635
1.40364e+09,4.59876,-1.62218,0.809183,0.579502,-0.075654,-0.810202,-0.045036
1.40364e+09,4.54804,-1.60013,0.931499,0.593789,-0.070537,-0.800285,-0.044543
1.40364e+09,4.56739,-1.57485,0.907504,0.578836,-0.06619,-0.811616,-0.042993
1.40364e+09,4.63401,-1.42878,1.00974,0.578306,-0.127673,-0.802849,-0.068518
1.40364e+09,4.62379,-1.3703,1.04954,0.577313,-0.128241,-0.803824,-0.06427
1.40364e+09,4.62445,-1.34364,1.04922,0.571181,-0.129379,-0.807312,-0.072572
1.40364e+09,4.6232,-1.28537,1.05159,0.556618,-0.137597,-0.814921,-0.084547
1.40364e+09,2.33948,1.54599,0.826661,0.55736,-0.136754,-0.815289,-0.077162
1.40364e+09,0.938342,2.52938,1.15556,0.574273,-0.121287,-0.805455,-0.082125
